file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.24
iperf3_result_20231019155013.txt,1.77Mbits/sec,834Kbits/sec,243Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,1.45Mbits/sec,11.6Kbits/sec,0.00bits/sec,10.81,
iperf3_result_20231019154709.txt,2.61Mbits/sec,1.29Mbits/sec,2.20Mbits/sec,845Kbits/sec,1.47Mbits/sec,985Kbits/sec,857Kbits/sec,162Kbits/sec,0.00bits/sec,556Kbits/sec,354Kbits/sec,10.29,
iperf3_result_20231019154720.txt,3.19Mbits/sec,1.97Mbits/sec,0.00bits/sec,3.24Mbits/sec,23.2Kbits/sec,11.6Kbits/sec,11.6Kbits/sec,34.8Kbits/sec,11.6Kbits/sec,34.8Kbits/sec,0.00bits/sec,10.28,
iperf3_result_20231019154647.txt,11.4Mbits/sec,8.79Mbits/sec,7.70Mbits/sec,6.09Mbits/sec,0.00bits/sec,8.14Mbits/sec,6.94Mbits/sec,7.32Mbits/sec,9.51Mbits/sec,4.54Mbits/sec,0.00bits/sec,10.57,
iperf3_result_20231019154929.txt,2.64Mbits/sec,1.70Mbits/sec,868Kbits/sec,0.00bits/sec,0.00bits/sec,2.24Mbits/sec,0.00bits/sec,11.6Kbits/sec,34.8Kbits/sec,0.00bits/sec,0.00bits/sec,10.44,
iperf3_result_20231019154530.txt,1.33Mbits/sec,9.63Mbits/sec,9.77Mbits/sec,7.16Mbits/sec,8.70Mbits/sec,9.82Mbits/sec,5.71Mbits/sec,2.04Mbits/sec,0.00bits/sec,14.2Mbits/sec,283Kbits/sec,10.16,
iperf3_result_20231019154518.txt,347Kbits/sec,463Kbits/sec,2.76Mbits/sec,2.18Mbits/sec,2.18Mbits/sec,509Kbits/sec,545Kbits/sec,34.8Kbits/sec,34.8Kbits/sec,116Kbits/sec,291Kbits/sec,10.16,
iperf3_result_20231019155002.txt,6.09Mbits/sec,2.97Mbits/sec,996Kbits/sec,0.00bits/sec,0.00bits/sec,4.10Mbits/sec,34.8Kbits/sec,23.2Kbits/sec,0.00bits/sec,11.6Kbits/sec,0.00bits/sec,10.39,
iperf3_result_20231019154730.txt,3.16Mbits/sec,1.23Mbits/sec,0.00bits/sec,0.00bits/sec,2.78Mbits/sec,92.6Kbits/sec,116Kbits/sec,11.6Kbits/sec,81.1Kbits/sec,92.7Kbits/sec,0.00bits/sec,10.37,
iperf3_result_20231019155413.txt,4.00Mbits/sec,7.25Mbits/sec,7.98Mbits/sec,8.79Mbits/sec,11.2Mbits/sec,11.2Mbits/sec,14.3Mbits/sec,3.84Mbits/sec,5.13Mbits/sec,92.7Kbits/sec,200Kbits/sec,10.23,
iperf3_result_20231019154636.txt,10.8Mbits/sec,12.7Mbits/sec,12.5Mbits/sec,9.37Mbits/sec,8.73Mbits/sec,2.04Mbits/sec,0.00bits/sec,13.6Mbits/sec,5.09Mbits/sec,10.7Mbits/sec,9.52Mbits/sec,10.25,
iperf3_result_20231019154541.txt,2.64Mbits/sec,10.5Mbits/sec,13.2Mbits/sec,12.5Mbits/sec,10.9Mbits/sec,10.4Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,16.1Mbits/sec,0.00bits/sec,10.26,
iperf3_result_20231019154741.txt,2.77Mbits/sec,776Kbits/sec,0.00bits/sec,0.00bits/sec,1.48Mbits/sec,0.00bits/sec,11.6Kbits/sec,2.07Mbits/sec,23.2Kbits/sec,0.00bits/sec,20.0Kbits/sec,10.58,
iperf3_result_20231019154803.txt,2.27Mbits/sec,1.63Mbits/sec,463Kbits/sec,0.00bits/sec,1.58Mbits/sec,92.6Kbits/sec,0.00bits/sec,243Kbits/sec,144Kbits/sec,57.9Kbits/sec,0.00bits/sec,10.24,
iperf3_result_20231019154552.txt,11.2Mbits/sec,10.0Mbits/sec,12.2Mbits/sec,7.69Mbits/sec,5.83Mbits/sec,3.11Mbits/sec,2.73Mbits/sec,556Kbits/sec,5.61Mbits/sec,69.5Kbits/sec,213Kbits/sec,10.92,
iperf3_result_20231019154814.txt,2.75Mbits/sec,0.00bits/sec,0.00bits/sec,3.30Mbits/sec,11.6Kbits/sec,34.7Kbits/sec,46.3Kbits/sec,11.6Kbits/sec,11.6Kbits/sec,34.7Kbits/sec,0.00bits/sec,10.43,
iperf3_result_20231019154752.txt,6.61Mbits/sec,6.23Mbits/sec,4.46Mbits/sec,4.41Mbits/sec,1.10Mbits/sec,0.00bits/sec,6.04Mbits/sec,1.93Mbits/sec,764Kbits/sec,742Kbits/sec,608Kbits/sec,10.42,
iperf3_result_20231019154626.txt,8.39Mbits/sec,8.56Mbits/sec,10.4Mbits/sec,11.3Mbits/sec,10.4Mbits/sec,6.96Mbits/sec,9.48Mbits/sec,127Kbits/sec,851Kbits/sec,5.65Mbits/sec,8.31Mbits/sec,10.05,
iperf3_result_20231019155510.txt,347Kbits/sec,1.68Mbits/sec,2.80Mbits/sec,22.1Mbits/sec,27.8Mbits/sec,28.9Mbits/sec,32.2Mbits/sec,35.1Mbits/sec,33.5Mbits/sec,32.8Mbits/sec,35.7Mbits/sec,10.29,
iperf3_result_20231019154951.txt,2.00Mbits/sec,637Kbits/sec,672Kbits/sec,1.32Mbits/sec,591Kbits/sec,232Kbits/sec,81.1Kbits/sec,0.00bits/sec,406Kbits/sec,209Kbits/sec,432Kbits/sec,10.21,
iperf3_result_20231019154825.txt,3.85Mbits/sec,3.66Mbits/sec,4.78Mbits/sec,5.98Mbits/sec,7.91Mbits/sec,4.02Mbits/sec,8.57Mbits/sec,4.63Mbits/sec,2.76Mbits/sec,1.70Mbits/sec,2.91Mbits/sec,10.30,
iperf3_result_20231019155457.txt,0.00bits/sec,3.45Mbits/sec,8.71Mbits/sec,17.3Mbits/sec,28.5Mbits/sec,31.9Mbits/sec,78.5Mbits/sec,97.1Mbits/sec,57.4Mbits/sec,49.4Mbits/sec,40.4Mbits/sec,>= 11.00,41.1Mbits/sec
iperf3_result_20231019154615.txt,2.43Mbits/sec,2.55Mbits/sec,1.93Mbits/sec,1.80Mbits/sec,961Kbits/sec,985Kbits/sec,730Kbits/sec,1.01Mbits/sec,753Kbits/sec,799Kbits/sec,701Kbits/sec,10.30,
iperf3_result_20231019154836.txt,1.97Mbits/sec,1.61Mbits/sec,1.42Mbits/sec,2.04Mbits/sec,1.61Mbits/sec,1.53Mbits/sec,0.00bits/sec,4.57Mbits/sec,23.2Kbits/sec,34.7Kbits/sec,0.00bits/sec,10.20,
iperf3_result_20231019154604.txt,625Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,1.07Mbits/sec,980Kbits/sec,3.61Mbits/sec,5.65Mbits/sec,3.49Mbits/sec,1.66Mbits/sec,0.00bits/sec,10.37,
iperf3_result_20231019154940.txt,6.51Mbits/sec,4.34Mbits/sec,0.00bits/sec,6.26Mbits/sec,2.19Mbits/sec,4.33Mbits/sec,3.27Mbits/sec,1.93Mbits/sec,0.00bits/sec,5.54Mbits/sec,0.00bits/sec,10.51,
iperf3_result_20231019154846.txt,2.27Mbits/sec,1.63Mbits/sec,950Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,3.19Mbits/sec,0.00bits/sec,11.6Kbits/sec,57.9Kbits/sec,0.00bits/sec,10.39,
iperf3_result_20231019155435.txt,3.64Mbits/sec,15.3Mbits/sec,16.4Mbits/sec,20.0Mbits/sec,20.8Mbits/sec,25.9Mbits/sec,31.6Mbits/sec,17.7Mbits/sec,0.00bits/sec,0.00bits/sec,5.82Mbits/sec,10.89,
iperf3_result_20231019154919.txt,2.54Mbits/sec,2.06Mbits/sec,1.55Mbits/sec,834Kbits/sec,0.00bits/sec,0.00bits/sec,5.07Mbits/sec,11.6Kbits/sec,11.6Kbits/sec,57.9Kbits/sec,43.1Kbits/sec,10.27,
iperf3_result_20231019155024.txt,2.85Mbits/sec,1.43Mbits/sec,973Kbits/sec,0.00bits/sec,209Kbits/sec,672Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,
iperf3_result_20231019155424.txt,1.56Mbits/sec,2.34Mbits/sec,4.63Mbits/sec,9.32Mbits/sec,9.22Mbits/sec,8.86Mbits/sec,10.2Mbits/sec,10.8Mbits/sec,9.93Mbits/sec,8.79Mbits/sec,8.67Mbits/sec,10.11,
iperf3_result_20231019154908.txt,1.91Mbits/sec,1.14Mbits/sec,857Kbits/sec,0.00bits/sec,1.75Mbits/sec,718Kbits/sec,996Kbits/sec,568Kbits/sec,927Kbits/sec,498Kbits/sec,314Kbits/sec,10.26,
iperf3_result_20231019155037.txt,394Kbits/sec,255Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,10.83,
iperf3_result_20231019154857.txt,2.32Mbits/sec,1.55Mbits/sec,764Kbits/sec,776Kbits/sec,823Kbits/sec,533Kbits/sec,197Kbits/sec,591Kbits/sec,162Kbits/sec,0.00bits/sec,0.00bits/sec,10.23,
iperf3_result_20231019154658.txt,1.27Mbits/sec,498Kbits/sec,0.00bits/sec,266Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,2.38Mbits/sec,243Kbits/sec,1.12Mbits/sec,0.00bits/sec,10.25,
