file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.18,11.00-11.04,11.00-11.00,11.00-11.05,11.00-11.22,11.00-11.02,11.00-11.07,11.00-11.24,11.00-11.12,11.00-11.10,11.00-12.00,12.00-12.54,11.00-11.17,11.00-11.77,11.00-11.01,11.00-11.15,11.00-11.11,11.00-11.13,11.00-11.14,11.00-11.08,11.00-11.21,11.00-11.03,11.00-11.16,11.00-11.23,11.00-11.20,11.00-11.09,11.00-11.48,11.00-11.06,11.00-11.19,11.00-11.26,11.00-11.32,11.00-11.34,11.00-11.52
iperf3_result_20231019153847.txt,46.0Mbits/sec,46.7Mbits/sec,46.0Mbits/sec,47.9Mbits/sec,51.3Mbits/sec,50.6Mbits/sec,49.8Mbits/sec,51.7Mbits/sec,41.4Mbits/sec,42.9Mbits/sec,42.2Mbits/sec,>= 11.00,42.4Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154457.txt,47.5Mbits/sec,50.6Mbits/sec,38.0Mbits/sec,50.2Mbits/sec,49.7Mbits/sec,48.6Mbits/sec,49.4Mbits/sec,50.1Mbits/sec,48.8Mbits/sec,48.4Mbits/sec,49.3Mbits/sec,>= 11.00,,61.0Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153728.txt,43.2Mbits/sec,42.6Mbits/sec,43.7Mbits/sec,47.9Mbits/sec,46.0Mbits/sec,50.8Mbits/sec,51.2Mbits/sec,51.6Mbits/sec,51.2Mbits/sec,47.2Mbits/sec,51.1Mbits/sec,>= 11.00,,,2.89Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154913.txt,42.1Mbits/sec,44.0Mbits/sec,48.6Mbits/sec,44.7Mbits/sec,49.1Mbits/sec,51.5Mbits/sec,47.7Mbits/sec,44.8Mbits/sec,49.6Mbits/sec,49.6Mbits/sec,49.5Mbits/sec,>= 11.00,,,,62.8Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154244.txt,43.3Mbits/sec,48.1Mbits/sec,50.0Mbits/sec,48.8Mbits/sec,42.8Mbits/sec,50.9Mbits/sec,49.3Mbits/sec,35.6Mbits/sec,49.9Mbits/sec,48.5Mbits/sec,48.3Mbits/sec,>= 11.00,,65.3Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019155212.txt,85.0Mbits/sec,89.1Mbits/sec,96.7Mbits/sec,91.8Mbits/sec,89.1Mbits/sec,90.6Mbits/sec,94.6Mbits/sec,84.7Mbits/sec,92.8Mbits/sec,88.1Mbits/sec,85.6Mbits/sec,>= 11.00,,,,,63.4Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154508.txt,44.2Mbits/sec,50.8Mbits/sec,51.5Mbits/sec,47.1Mbits/sec,49.0Mbits/sec,47.0Mbits/sec,44.3Mbits/sec,47.7Mbits/sec,46.3Mbits/sec,50.1Mbits/sec,48.7Mbits/sec,>= 11.00,,,,54.4Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154722.txt,46.8Mbits/sec,47.8Mbits/sec,50.4Mbits/sec,50.3Mbits/sec,47.7Mbits/sec,50.1Mbits/sec,47.9Mbits/sec,48.7Mbits/sec,42.0Mbits/sec,50.0Mbits/sec,49.2Mbits/sec,>= 11.00,,,,,,57.1Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153931.txt,45.4Mbits/sec,48.7Mbits/sec,44.7Mbits/sec,47.3Mbits/sec,40.6Mbits/sec,43.0Mbits/sec,47.4Mbits/sec,47.9Mbits/sec,48.1Mbits/sec,48.6Mbits/sec,47.7Mbits/sec,>= 11.00,,,,,,,57.5Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153716.txt,45.0Mbits/sec,49.4Mbits/sec,47.9Mbits/sec,47.1Mbits/sec,47.5Mbits/sec,46.7Mbits/sec,45.0Mbits/sec,47.4Mbits/sec,42.0Mbits/sec,45.6Mbits/sec,50.5Mbits/sec,>= 11.00,,41.8Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154519.txt,48.5Mbits/sec,46.5Mbits/sec,49.8Mbits/sec,46.6Mbits/sec,48.6Mbits/sec,47.4Mbits/sec,50.0Mbits/sec,48.6Mbits/sec,49.9Mbits/sec,49.3Mbits/sec,40.0Mbits/sec,>= 11.00,,,,,,,,48.1Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154733.txt,47.0Mbits/sec,46.8Mbits/sec,48.3Mbits/sec,47.8Mbits/sec,44.4Mbits/sec,49.4Mbits/sec,49.8Mbits/sec,49.4Mbits/sec,48.2Mbits/sec,33.9Mbits/sec,48.6Mbits/sec,>= 11.00,,,,,,45.3Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153909.txt,44.4Mbits/sec,45.7Mbits/sec,49.5Mbits/sec,44.6Mbits/sec,40.2Mbits/sec,39.2Mbits/sec,45.8Mbits/sec,44.9Mbits/sec,45.3Mbits/sec,44.7Mbits/sec,45.2Mbits/sec,>= 11.00,,,,,,,,,54.5Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153920.txt,43.8Mbits/sec,51.8Mbits/sec,49.3Mbits/sec,47.1Mbits/sec,51.8Mbits/sec,47.3Mbits/sec,44.1Mbits/sec,42.6Mbits/sec,40.1Mbits/sec,32.9Mbits/sec,47.0Mbits/sec,>= 11.00,,,,,,,,,,42.2Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154530.txt,43.6Mbits/sec,48.3Mbits/sec,45.2Mbits/sec,49.2Mbits/sec,47.8Mbits/sec,49.3Mbits/sec,48.1Mbits/sec,47.6Mbits/sec,47.8Mbits/sec,44.7Mbits/sec,48.3Mbits/sec,>= 11.00,,,,49.3Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154134.txt,48.9Mbits/sec,47.9Mbits/sec,46.0Mbits/sec,47.6Mbits/sec,49.5Mbits/sec,50.9Mbits/sec,47.6Mbits/sec,45.2Mbits/sec,48.4Mbits/sec,44.2Mbits/sec,18.0Mbits/sec,>= 11.00,,,,,,,,,,,17.6Mbits/sec,26.9Mbits/sec,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154446.txt,48.3Mbits/sec,47.4Mbits/sec,49.3Mbits/sec,48.7Mbits/sec,43.5Mbits/sec,51.1Mbits/sec,47.5Mbits/sec,48.2Mbits/sec,47.0Mbits/sec,50.3Mbits/sec,49.6Mbits/sec,>= 11.00,,45.2Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153705.txt,45.9Mbits/sec,41.0Mbits/sec,37.5Mbits/sec,51.7Mbits/sec,46.2Mbits/sec,45.8Mbits/sec,48.3Mbits/sec,49.2Mbits/sec,43.8Mbits/sec,42.0Mbits/sec,44.2Mbits/sec,>= 11.00,,,,,,,,,,,,,54.1Mbits/sec,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153739.txt,49.2Mbits/sec,47.5Mbits/sec,50.2Mbits/sec,50.6Mbits/sec,44.0Mbits/sec,46.5Mbits/sec,43.6Mbits/sec,46.7Mbits/sec,39.3Mbits/sec,49.6Mbits/sec,49.3Mbits/sec,>= 11.00,,,,,,,,,,,,,,3.61Mbits/sec,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154902.txt,44.8Mbits/sec,51.7Mbits/sec,47.3Mbits/sec,49.5Mbits/sec,45.9Mbits/sec,43.6Mbits/sec,51.2Mbits/sec,47.9Mbits/sec,49.2Mbits/sec,49.0Mbits/sec,48.7Mbits/sec,>= 11.00,,,,,,,45.4Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154255.txt,48.8Mbits/sec,49.5Mbits/sec,51.1Mbits/sec,51.0Mbits/sec,39.3Mbits/sec,48.1Mbits/sec,46.9Mbits/sec,44.5Mbits/sec,44.8Mbits/sec,46.1Mbits/sec,51.4Mbits/sec,>= 11.00,,,,,,,,,,,,,,,70.1Mbits/sec,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154123.txt,43.4Mbits/sec,48.0Mbits/sec,49.8Mbits/sec,50.5Mbits/sec,50.4Mbits/sec,45.3Mbits/sec,21.9Mbits/sec,50.1Mbits/sec,50.0Mbits/sec,48.3Mbits/sec,45.2Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,47.4Mbits/sec,,,,,,,,,,,,,,,,,
iperf3_result_20231019155201.txt,63.6Mbits/sec,71.7Mbits/sec,91.9Mbits/sec,96.0Mbits/sec,92.5Mbits/sec,90.0Mbits/sec,91.9Mbits/sec,97.4Mbits/sec,97.0Mbits/sec,98.9Mbits/sec,87.9Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,98.7Mbits/sec,,,,,,,,,,,,,,,,,
iperf3_result_20231019153824.txt,52.2Mbits/sec,49.1Mbits/sec,47.0Mbits/sec,42.4Mbits/sec,48.4Mbits/sec,40.3Mbits/sec,36.3Mbits/sec,49.4Mbits/sec,43.7Mbits/sec,42.4Mbits/sec,46.6Mbits/sec,>= 11.00,,,,,,,,,,39.9Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154958.txt,47.9Mbits/sec,46.8Mbits/sec,31.7Mbits/sec,50.2Mbits/sec,45.8Mbits/sec,44.8Mbits/sec,46.1Mbits/sec,44.8Mbits/sec,39.3Mbits/sec,48.9Mbits/sec,46.8Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,42.7Mbits/sec,,,,,,,,,,,,,,,,
iperf3_result_20231019155105.txt,74.0Mbits/sec,86.1Mbits/sec,93.2Mbits/sec,75.4Mbits/sec,84.3Mbits/sec,88.7Mbits/sec,94.7Mbits/sec,85.6Mbits/sec,90.8Mbits/sec,86.2Mbits/sec,92.8Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,86.9Mbits/sec,,,,,,,,,,,,,,,
iperf3_result_20231019154541.txt,46.8Mbits/sec,48.3Mbits/sec,51.2Mbits/sec,46.9Mbits/sec,48.4Mbits/sec,51.3Mbits/sec,49.6Mbits/sec,48.7Mbits/sec,47.2Mbits/sec,44.6Mbits/sec,44.7Mbits/sec,>= 11.00,,,,,,,,,45.1Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019155139.txt,85.5Mbits/sec,90.8Mbits/sec,89.4Mbits/sec,89.6Mbits/sec,86.9Mbits/sec,75.0Mbits/sec,35.2Mbits/sec,35.1Mbits/sec,88.5Mbits/sec,88.0Mbits/sec,87.0Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,98.4Mbits/sec,,,,,,,,,,,,,,
iperf3_result_20231019154233.txt,46.8Mbits/sec,45.0Mbits/sec,48.0Mbits/sec,49.5Mbits/sec,45.9Mbits/sec,51.5Mbits/sec,31.5Mbits/sec,49.9Mbits/sec,50.6Mbits/sec,48.2Mbits/sec,47.3Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,50.6Mbits/sec,,,,,,,,,,,,,
iperf3_result_20231019154435.txt,43.6Mbits/sec,49.5Mbits/sec,37.9Mbits/sec,40.8Mbits/sec,48.1Mbits/sec,48.3Mbits/sec,44.2Mbits/sec,48.9Mbits/sec,50.3Mbits/sec,47.9Mbits/sec,49.2Mbits/sec,>= 11.00,,,,,,71.4Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154637.txt,46.8Mbits/sec,46.6Mbits/sec,48.9Mbits/sec,45.9Mbits/sec,47.9Mbits/sec,51.1Mbits/sec,47.1Mbits/sec,29.9Mbits/sec,18.0Mbits/sec,12.1Mbits/sec,41.0Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,58.3Mbits/sec,,,,,,,,,,,,,,,,,
iperf3_result_20231019154147.txt,44.4Mbits/sec,46.6Mbits/sec,48.1Mbits/sec,47.7Mbits/sec,50.1Mbits/sec,46.8Mbits/sec,48.8Mbits/sec,45.0Mbits/sec,51.0Mbits/sec,48.3Mbits/sec,44.8Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,31.7Mbits/sec,,,,,,,,,,,,
iperf3_result_20231019154806.txt,45.6Mbits/sec,46.5Mbits/sec,48.9Mbits/sec,47.4Mbits/sec,47.5Mbits/sec,50.8Mbits/sec,50.0Mbits/sec,49.0Mbits/sec,49.0Mbits/sec,47.7Mbits/sec,50.3Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,51.4Mbits/sec,,,,,,,,,,,
iperf3_result_20231019154027.txt,45.6Mbits/sec,47.7Mbits/sec,32.5Mbits/sec,45.4Mbits/sec,44.9Mbits/sec,44.4Mbits/sec,46.3Mbits/sec,49.6Mbits/sec,47.0Mbits/sec,40.8Mbits/sec,42.4Mbits/sec,>= 11.00,43.1Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154755.txt,44.8Mbits/sec,47.6Mbits/sec,48.6Mbits/sec,51.2Mbits/sec,40.0Mbits/sec,50.4Mbits/sec,47.2Mbits/sec,41.0Mbits/sec,46.2Mbits/sec,43.6Mbits/sec,44.4Mbits/sec,>= 11.00,,,,,,,51.9Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154350.txt,46.7Mbits/sec,47.6Mbits/sec,49.0Mbits/sec,47.8Mbits/sec,50.1Mbits/sec,51.6Mbits/sec,47.2Mbits/sec,48.1Mbits/sec,46.1Mbits/sec,26.2Mbits/sec,49.7Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,36.7Mbits/sec,,,,,,,,,,,
iperf3_result_20231019154817.txt,44.3Mbits/sec,47.0Mbits/sec,48.9Mbits/sec,48.5Mbits/sec,50.0Mbits/sec,46.5Mbits/sec,45.9Mbits/sec,48.0Mbits/sec,48.1Mbits/sec,47.4Mbits/sec,43.4Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,47.5Mbits/sec,,,,,,,,,,
iperf3_result_20231019155116.txt,87.5Mbits/sec,101Mbits/sec,91.1Mbits/sec,93.6Mbits/sec,94.3Mbits/sec,92.5Mbits/sec,101Mbits/sec,98.9Mbits/sec,101Mbits/sec,95.5Mbits/sec,98.4Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,115Mbits/sec,,,,,,,,,,,
iperf3_result_20231019154744.txt,48.8Mbits/sec,45.2Mbits/sec,47.0Mbits/sec,49.1Mbits/sec,50.2Mbits/sec,43.8Mbits/sec,51.5Mbits/sec,49.5Mbits/sec,48.4Mbits/sec,51.1Mbits/sec,42.5Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,42.4Mbits/sec,,,,,,,,,
iperf3_result_20231019153942.txt,49.5Mbits/sec,45.7Mbits/sec,36.6Mbits/sec,44.4Mbits/sec,46.8Mbits/sec,47.6Mbits/sec,45.9Mbits/sec,47.6Mbits/sec,46.2Mbits/sec,44.5Mbits/sec,49.0Mbits/sec,>= 11.00,,60.1Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154553.txt,35.4Mbits/sec,43.2Mbits/sec,40.8Mbits/sec,45.9Mbits/sec,53.4Mbits/sec,49.9Mbits/sec,52.5Mbits/sec,39.3Mbits/sec,51.4Mbits/sec,52.0Mbits/sec,51.0Mbits/sec,>= 11.00,,,,,,48.2Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154221.txt,45.6Mbits/sec,53.2Mbits/sec,47.0Mbits/sec,51.7Mbits/sec,50.6Mbits/sec,45.4Mbits/sec,48.7Mbits/sec,50.0Mbits/sec,36.7Mbits/sec,47.0Mbits/sec,46.1Mbits/sec,>= 11.00,,,,,,,,,48.6Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153835.txt,43.2Mbits/sec,45.8Mbits/sec,47.0Mbits/sec,45.7Mbits/sec,48.4Mbits/sec,48.4Mbits/sec,48.7Mbits/sec,46.8Mbits/sec,47.0Mbits/sec,51.0Mbits/sec,45.5Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,47.5Mbits/sec,,,,,,,,,,,,,,,,
iperf3_result_20231019153558.txt,40.5Mbits/sec,36.3Mbits/sec,41.2Mbits/sec,45.5Mbits/sec,50.2Mbits/sec,43.7Mbits/sec,46.2Mbits/sec,47.9Mbits/sec,51.1Mbits/sec,50.9Mbits/sec,49.1Mbits/sec,>= 11.00,,63.8Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153954.txt,46.0Mbits/sec,48.5Mbits/sec,43.5Mbits/sec,45.0Mbits/sec,48.2Mbits/sec,41.0Mbits/sec,34.7Mbits/sec,33.9Mbits/sec,44.1Mbits/sec,44.4Mbits/sec,42.0Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,44.5Mbits/sec,,,,,,,,
