file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.18,11.00-11.04,11.00-11.00,11.00-11.05,11.00-11.22,11.00-11.02,11.00-11.07,11.00-11.24,11.00-11.12,11.00-11.10,11.00-12.00,12.00-12.54,11.00-11.17,11.00-11.77,11.00-11.01,11.00-11.15,11.00-11.11,11.00-11.13,11.00-11.14,11.00-11.08,11.00-11.21,11.00-11.03,11.00-11.16,11.00-11.23,11.00-11.20,11.00-11.09,11.00-11.48,11.00-11.06,11.00-11.19,11.00-11.26,11.00-11.32,11.00-11.34,11.00-11.52
iperf3_result_20231019154424.txt,48.3Mbits/sec,49.2Mbits/sec,47.3Mbits/sec,46.0Mbits/sec,47.6Mbits/sec,46.1Mbits/sec,28.0Mbits/sec,47.9Mbits/sec,46.5Mbits/sec,46.6Mbits/sec,47.1Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,51.6Mbits/sec,,,,,,,
iperf3_result_20231019154829.txt,39.2Mbits/sec,38.6Mbits/sec,47.0Mbits/sec,47.0Mbits/sec,49.1Mbits/sec,50.6Mbits/sec,48.1Mbits/sec,49.3Mbits/sec,50.4Mbits/sec,50.0Mbits/sec,50.4Mbits/sec,>= 11.00,,,,,,69.7Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154626.txt,46.6Mbits/sec,51.2Mbits/sec,49.9Mbits/sec,44.1Mbits/sec,48.2Mbits/sec,50.9Mbits/sec,52.5Mbits/sec,49.3Mbits/sec,50.8Mbits/sec,51.6Mbits/sec,51.5Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154401.txt,45.9Mbits/sec,47.5Mbits/sec,46.7Mbits/sec,46.0Mbits/sec,42.1Mbits/sec,44.3Mbits/sec,46.6Mbits/sec,44.4Mbits/sec,41.6Mbits/sec,39.5Mbits/sec,44.5Mbits/sec,>= 11.00,,,,,,,51.8Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154005.txt,44.7Mbits/sec,44.5Mbits/sec,43.0Mbits/sec,45.8Mbits/sec,45.7Mbits/sec,43.8Mbits/sec,43.8Mbits/sec,31.0Mbits/sec,43.0Mbits/sec,48.9Mbits/sec,49.2Mbits/sec,>= 11.00,,49.3Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154038.txt,45.6Mbits/sec,44.0Mbits/sec,44.7Mbits/sec,46.2Mbits/sec,48.3Mbits/sec,49.3Mbits/sec,49.2Mbits/sec,47.4Mbits/sec,46.8Mbits/sec,49.8Mbits/sec,48.0Mbits/sec,>= 11.00,,,,,,,53.8Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154158.txt,38.3Mbits/sec,31.1Mbits/sec,45.6Mbits/sec,44.4Mbits/sec,40.9Mbits/sec,43.2Mbits/sec,41.2Mbits/sec,38.4Mbits/sec,47.4Mbits/sec,44.5Mbits/sec,33.4Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,32.8Mbits/sec,,,,,,,,,,,,,,,,
iperf3_result_20231019153609.txt,45.6Mbits/sec,50.3Mbits/sec,46.4Mbits/sec,46.0Mbits/sec,47.9Mbits/sec,50.6Mbits/sec,46.9Mbits/sec,50.2Mbits/sec,50.0Mbits/sec,47.7Mbits/sec,37.5Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8Mbits/sec,,,,,,
iperf3_result_20231019153621.txt,41.5Mbits/sec,47.7Mbits/sec,45.6Mbits/sec,41.0Mbits/sec,48.7Mbits/sec,43.1Mbits/sec,44.2Mbits/sec,49.4Mbits/sec,37.9Mbits/sec,46.8Mbits/sec,48.6Mbits/sec,>= 11.00,,53.3Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154210.txt,30.7Mbits/sec,30.9Mbits/sec,30.6Mbits/sec,35.0Mbits/sec,33.1Mbits/sec,37.3Mbits/sec,33.5Mbits/sec,39.9Mbits/sec,50.3Mbits/sec,53.0Mbits/sec,51.7Mbits/sec,>= 11.00,,,32.5Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154946.txt,43.1Mbits/sec,43.0Mbits/sec,45.2Mbits/sec,51.0Mbits/sec,47.0Mbits/sec,44.6Mbits/sec,42.2Mbits/sec,45.5Mbits/sec,48.0Mbits/sec,43.0Mbits/sec,50.6Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,73.1Mbits/sec,,,,,,,,,,,
iperf3_result_20231019155127.txt,88.1Mbits/sec,96.5Mbits/sec,72.2Mbits/sec,97.9Mbits/sec,91.8Mbits/sec,96.4Mbits/sec,92.9Mbits/sec,98.5Mbits/sec,96.2Mbits/sec,83.5Mbits/sec,83.8Mbits/sec,>= 11.00,96.6Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153813.txt,45.8Mbits/sec,48.5Mbits/sec,49.4Mbits/sec,40.4Mbits/sec,46.8Mbits/sec,48.8Mbits/sec,49.7Mbits/sec,49.5Mbits/sec,50.1Mbits/sec,48.1Mbits/sec,47.9Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0Mbits/sec,,,,,
iperf3_result_20231019154615.txt,49.5Mbits/sec,51.7Mbits/sec,49.3Mbits/sec,47.7Mbits/sec,49.0Mbits/sec,52.8Mbits/sec,51.6Mbits/sec,49.9Mbits/sec,50.5Mbits/sec,49.4Mbits/sec,48.8Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,72.9Mbits/sec,,,,,,,,,,,
iperf3_result_20231019155043.txt,50.3Mbits/sec,50.9Mbits/sec,51.3Mbits/sec,45.8Mbits/sec,50.9Mbits/sec,52.7Mbits/sec,46.3Mbits/sec,41.7Mbits/sec,43.3Mbits/sec,46.7Mbits/sec,45.3Mbits/sec,>= 11.00,,,,,,,,,,,,,36.5Mbits/sec,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154016.txt,42.1Mbits/sec,48.7Mbits/sec,47.5Mbits/sec,45.3Mbits/sec,43.3Mbits/sec,47.1Mbits/sec,44.9Mbits/sec,44.6Mbits/sec,45.9Mbits/sec,42.8Mbits/sec,43.4Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8Mbits/sec,,,,
iperf3_result_20231019153751.txt,40.7Mbits/sec,47.0Mbits/sec,48.3Mbits/sec,45.5Mbits/sec,47.9Mbits/sec,48.3Mbits/sec,50.0Mbits/sec,47.2Mbits/sec,39.1Mbits/sec,56.6Mbits/sec,95.8Mbits/sec,>= 11.00,,,,,,,87.1Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153547.txt,44.2Mbits/sec,48.6Mbits/sec,48.4Mbits/sec,44.1Mbits/sec,40.4Mbits/sec,47.3Mbits/sec,47.7Mbits/sec,42.0Mbits/sec,49.3Mbits/sec,47.4Mbits/sec,40.4Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4Mbits/sec,,,
iperf3_result_20231019154412.txt,46.9Mbits/sec,50.7Mbits/sec,51.0Mbits/sec,49.2Mbits/sec,51.5Mbits/sec,49.9Mbits/sec,49.8Mbits/sec,50.9Mbits/sec,45.5Mbits/sec,51.8Mbits/sec,48.7Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8Mbits/sec,,,,,
iperf3_result_20231019153802.txt,43.2Mbits/sec,45.2Mbits/sec,40.8Mbits/sec,48.9Mbits/sec,45.7Mbits/sec,48.6Mbits/sec,46.8Mbits/sec,45.5Mbits/sec,43.5Mbits/sec,45.5Mbits/sec,47.2Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,45.1Mbits/sec,,,,,,,
iperf3_result_20231019154604.txt,48.8Mbits/sec,48.5Mbits/sec,48.1Mbits/sec,48.0Mbits/sec,50.2Mbits/sec,50.4Mbits/sec,47.0Mbits/sec,45.1Mbits/sec,51.6Mbits/sec,49.6Mbits/sec,51.7Mbits/sec,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019155054.txt,90.0Mbits/sec,93.5Mbits/sec,84.7Mbits/sec,95.2Mbits/sec,83.9Mbits/sec,66.1Mbits/sec,85.6Mbits/sec,93.8Mbits/sec,98.6Mbits/sec,94.8Mbits/sec,92.2Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,90.6Mbits/sec,,,,,,,
iperf3_result_20231019153632.txt,41.3Mbits/sec,48.9Mbits/sec,49.9Mbits/sec,43.6Mbits/sec,48.6Mbits/sec,46.3Mbits/sec,49.5Mbits/sec,46.1Mbits/sec,45.4Mbits/sec,48.0Mbits/sec,48.7Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,47.3Mbits/sec,,,,,,,,,,,,,
iperf3_result_20231019154112.txt,44.5Mbits/sec,44.9Mbits/sec,44.6Mbits/sec,44.1Mbits/sec,43.6Mbits/sec,48.6Mbits/sec,48.7Mbits/sec,48.9Mbits/sec,42.2Mbits/sec,42.6Mbits/sec,44.8Mbits/sec,>= 11.00,,,,,,,,,,,,,43.0Mbits/sec,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019155224.txt,93.5Mbits/sec,66.5Mbits/sec,90.4Mbits/sec,91.9Mbits/sec,92.1Mbits/sec,79.8Mbits/sec,82.5Mbits/sec,97.3Mbits/sec,95.7Mbits/sec,101Mbits/sec,93.4Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,95.3Mbits/sec,,,,,,,,,,,,,
iperf3_result_20231019154648.txt,45.5Mbits/sec,37.2Mbits/sec,49.4Mbits/sec,47.1Mbits/sec,46.4Mbits/sec,47.3Mbits/sec,42.6Mbits/sec,40.5Mbits/sec,46.3Mbits/sec,45.8Mbits/sec,35.3Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1Mbits/sec,,
iperf3_result_20231019153536.txt,37.7Mbits/sec,46.8Mbits/sec,46.1Mbits/sec,44.3Mbits/sec,45.4Mbits/sec,50.3Mbits/sec,45.8Mbits/sec,44.7Mbits/sec,41.2Mbits/sec,35.5Mbits/sec,49.9Mbits/sec,>= 11.00,,59.4Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154339.txt,47.7Mbits/sec,43.3Mbits/sec,40.1Mbits/sec,48.7Mbits/sec,54.1Mbits/sec,45.4Mbits/sec,47.4Mbits/sec,43.9Mbits/sec,49.7Mbits/sec,49.2Mbits/sec,49.4Mbits/sec,>= 11.00,,,,44.9Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153654.txt,51.3Mbits/sec,50.4Mbits/sec,51.5Mbits/sec,44.2Mbits/sec,50.4Mbits/sec,36.3Mbits/sec,45.8Mbits/sec,44.9Mbits/sec,50.2Mbits/sec,47.3Mbits/sec,50.8Mbits/sec,>= 11.00,,,,,,,,,,,,,,,69.3Mbits/sec,,,,,,,,,,,,,,,,,,
iperf3_result_20231019155031.txt,42.8Mbits/sec,46.9Mbits/sec,50.4Mbits/sec,47.7Mbits/sec,48.9Mbits/sec,44.5Mbits/sec,44.7Mbits/sec,46.0Mbits/sec,47.7Mbits/sec,42.3Mbits/sec,44.3Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,49.6Mbits/sec,,,,,,,,,,,,,,
iperf3_result_20231019154924.txt,47.5Mbits/sec,51.2Mbits/sec,50.8Mbits/sec,48.0Mbits/sec,49.3Mbits/sec,41.1Mbits/sec,49.8Mbits/sec,45.7Mbits/sec,49.2Mbits/sec,51.0Mbits/sec,48.4Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.6Mbits/sec,,,,,
iperf3_result_20231019155150.txt,80.0Mbits/sec,84.6Mbits/sec,81.3Mbits/sec,84.3Mbits/sec,88.3Mbits/sec,94.2Mbits/sec,87.7Mbits/sec,84.6Mbits/sec,92.3Mbits/sec,67.3Mbits/sec,67.8Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6Mbits/sec,
iperf3_result_20231019154306.txt,49.3Mbits/sec,50.1Mbits/sec,49.3Mbits/sec,51.4Mbits/sec,49.2Mbits/sec,50.0Mbits/sec,49.1Mbits/sec,44.9Mbits/sec,49.8Mbits/sec,46.0Mbits/sec,47.6Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,52.9Mbits/sec,,,,,,,
iperf3_result_20231019153858.txt,44.7Mbits/sec,35.6Mbits/sec,47.0Mbits/sec,47.9Mbits/sec,41.7Mbits/sec,45.0Mbits/sec,47.5Mbits/sec,47.1Mbits/sec,49.6Mbits/sec,46.0Mbits/sec,47.1Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,65.4Mbits/sec,,,,,,,,,,,,,,,,
iperf3_result_20231019154851.txt,48.0Mbits/sec,49.8Mbits/sec,48.6Mbits/sec,49.3Mbits/sec,49.2Mbits/sec,48.2Mbits/sec,48.1Mbits/sec,47.6Mbits/sec,40.0Mbits/sec,50.2Mbits/sec,46.0Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,44.9Mbits/sec,,,,,,,,,,,,,,,
iperf3_result_20231019153643.txt,47.8Mbits/sec,23.8Mbits/sec,14.9Mbits/sec,26.1Mbits/sec,45.5Mbits/sec,45.0Mbits/sec,47.4Mbits/sec,50.2Mbits/sec,48.0Mbits/sec,44.6Mbits/sec,49.4Mbits/sec,>= 11.00,,,,47.5Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153109.txt,88.0Mbits/sec,74.2Mbits/sec,55.3Mbits/sec,83.6Mbits/sec,75.0Mbits/sec,66.9Mbits/sec,84.7Mbits/sec,83.9Mbits/sec,90.5Mbits/sec,91.6Mbits/sec,91.5Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,106Mbits/sec,,,,,,,
iperf3_result_20231019155020.txt,42.7Mbits/sec,43.4Mbits/sec,42.0Mbits/sec,42.4Mbits/sec,46.6Mbits/sec,47.4Mbits/sec,48.0Mbits/sec,47.9Mbits/sec,48.8Mbits/sec,38.6Mbits/sec,25.0Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5Mbits/sec
iperf3_result_20231019154935.txt,47.3Mbits/sec,50.8Mbits/sec,52.2Mbits/sec,51.1Mbits/sec,52.1Mbits/sec,51.4Mbits/sec,51.2Mbits/sec,48.9Mbits/sec,50.6Mbits/sec,49.1Mbits/sec,48.0Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,48.9Mbits/sec,,,,,,,
iperf3_result_20231019154049.txt,50.6Mbits/sec,51.1Mbits/sec,51.5Mbits/sec,46.5Mbits/sec,50.6Mbits/sec,49.7Mbits/sec,50.0Mbits/sec,49.1Mbits/sec,48.7Mbits/sec,46.4Mbits/sec,35.7Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9Mbits/sec,
iperf3_result_20231019153524.txt,37.0Mbits/sec,49.2Mbits/sec,45.0Mbits/sec,50.9Mbits/sec,48.1Mbits/sec,38.8Mbits/sec,71.5Mbits/sec,98.9Mbits/sec,100Mbits/sec,98.4Mbits/sec,93.3Mbits/sec,>= 11.00,,,,,,,,,,97.5Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019155009.txt,32.6Mbits/sec,49.7Mbits/sec,47.2Mbits/sec,49.9Mbits/sec,46.9Mbits/sec,48.5Mbits/sec,49.2Mbits/sec,50.0Mbits/sec,49.3Mbits/sec,49.5Mbits/sec,46.6Mbits/sec,>= 11.00,,,,,,,,,,49.6Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154317.txt,49.0Mbits/sec,51.8Mbits/sec,46.9Mbits/sec,49.7Mbits/sec,52.8Mbits/sec,46.0Mbits/sec,38.7Mbits/sec,47.6Mbits/sec,49.6Mbits/sec,46.6Mbits/sec,50.9Mbits/sec,>= 11.00,,,,,,55.4Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154840.txt,43.8Mbits/sec,48.7Mbits/sec,47.9Mbits/sec,48.9Mbits/sec,46.7Mbits/sec,45.9Mbits/sec,48.5Mbits/sec,49.6Mbits/sec,48.3Mbits/sec,48.6Mbits/sec,50.0Mbits/sec,>= 11.00,,53.6Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154101.txt,47.2Mbits/sec,36.6Mbits/sec,40.0Mbits/sec,48.1Mbits/sec,45.1Mbits/sec,43.6Mbits/sec,43.2Mbits/sec,43.5Mbits/sec,45.1Mbits/sec,49.3Mbits/sec,49.7Mbits/sec,>= 11.00,,44.5Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154659.txt,34.9Mbits/sec,45.6Mbits/sec,50.3Mbits/sec,44.7Mbits/sec,48.8Mbits/sec,45.8Mbits/sec,42.2Mbits/sec,45.0Mbits/sec,45.9Mbits/sec,43.3Mbits/sec,43.7Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,41.0Mbits/sec,,,,,,,,,,
iperf3_result_20231019155235.txt,92.4Mbits/sec,95.3Mbits/sec,90.8Mbits/sec,92.2Mbits/sec,91.4Mbits/sec,91.5Mbits/sec,94.6Mbits/sec,82.2Mbits/sec,85.4Mbits/sec,87.3Mbits/sec,89.1Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,107Mbits/sec,,,,,,,,,,,,,,,
iperf3_result_20231019154711.txt,48.6Mbits/sec,46.7Mbits/sec,38.1Mbits/sec,49.1Mbits/sec,46.9Mbits/sec,42.5Mbits/sec,45.3Mbits/sec,46.9Mbits/sec,47.3Mbits/sec,47.1Mbits/sec,51.5Mbits/sec,>= 11.00,,,,,,,,,,,,,,,77.6Mbits/sec,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154328.txt,44.4Mbits/sec,24.1Mbits/sec,44.9Mbits/sec,48.3Mbits/sec,43.0Mbits/sec,46.0Mbits/sec,47.4Mbits/sec,43.1Mbits/sec,47.8Mbits/sec,50.3Mbits/sec,47.5Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,55.2Mbits/sec,,,,,,,,,,,,,
