file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,0.00-1.01,1.01-2.00
iperf3_result_20231019173003.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019171748.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172042.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172903.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019171615.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019171403.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019171950.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173148.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172135.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173158.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019171808.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172720.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172251.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172331.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173013.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172802.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173301.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173116.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173311.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172231.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172637.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019171855.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019171935.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173105.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172742.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019171539.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019171713.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019171920.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172352.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173055.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173322.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172823.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173240.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172412.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172942.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173137.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019171907.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019171446.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172615.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173127.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172952.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172013.txt,,,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.8MBytes,12.1MBytes
iperf3_result_20231019172210.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173250.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019171653.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173332.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173045.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172843.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173209.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172103.txt,,,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,1.41KBytes,23.8MBytes
iperf3_result_20231019172920.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173034.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172100.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173024.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019171633.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172931.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019171829.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019171426.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173219.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172311.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019172700.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
iperf3_result_20231019173230.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,,
