file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.05,11.00-12.00,12.00-13.00,13.00-14.00,11.00-11.66,11.00-11.51,11.00-11.23,13.00-13.31,11.00-11.06,11.00-11.11
iperf3_result_20231019155013.txt,10.4MBytes,9.24MBytes,4.28MBytes,3.08MBytes,2.66MBytes,2.29MBytes,2.03MBytes,2.29MBytes,2.20MBytes,6.83MBytes,7.63MBytes,10.85,,,,,,,,,,
iperf3_result_20231019154709.txt,7.66MBytes,7.21MBytes,7.01MBytes,6.17MBytes,7.78MBytes,7.12MBytes,8.77MBytes,8.31MBytes,6.93MBytes,7.81MBytes,3.05MBytes,10.32,,,,,,,,,,
iperf3_result_20231019154720.txt,7.81MBytes,10.2MBytes,9.13MBytes,8.82MBytes,8.85MBytes,10.0MBytes,11.1MBytes,10.9MBytes,10.8MBytes,10.7MBytes,2.86MBytes,10.31,,,,,,,,,,
iperf3_result_20231019154522.txt,8.12MBytes,10.1MBytes,10.4MBytes,7.77MBytes,10.4MBytes,11.8MBytes,11.6MBytes,12.2MBytes,11.9MBytes,11.3MBytes,3.24MBytes,10.25,,,,,,,,,,
iperf3_result_20231019155548.txt,6.56MBytes,2.99MBytes,4.07MBytes,3.52MBytes,5.20MBytes,11.0MBytes,11.8MBytes,11.6MBytes,10.2MBytes,2.34MBytes,1.25MBytes,10.51,,,,,,,,,,
iperf3_result_20231019154440.txt,10.8MBytes,10.2MBytes,9.58MBytes,9.23MBytes,9.24MBytes,9.38MBytes,9.39MBytes,10.6MBytes,9.82MBytes,8.67MBytes,1.93MBytes,10.19,,,,,,,,,,
iperf3_result_20231019160134.txt,10.9MBytes,10.3MBytes,2.67MBytes,6.39MBytes,9.95MBytes,12.9MBytes,11.5MBytes,8.11MBytes,3.02MBytes,2.94MBytes,276KBytes,10.09,,,,,,,,,,
iperf3_result_20231019155831.txt,4.96MBytes,6.37MBytes,6.20MBytes,6.29MBytes,6.50MBytes,6.41MBytes,5.91MBytes,6.57MBytes,5.34MBytes,6.02MBytes,2.53MBytes,10.49,,,,,,,,,,
iperf3_result_20231019155617.txt,5.40MBytes,12.1MBytes,11.4MBytes,4.33MBytes,2.90MBytes,2.81MBytes,2.79MBytes,2.59MBytes,2.40MBytes,2.14MBytes,1.31MBytes,10.49,,,,,,,,,,
iperf3_result_20231019155603.txt,6.33MBytes,3.04MBytes,6.90MBytes,11.5MBytes,12.1MBytes,12.3MBytes,9.89MBytes,2.32MBytes,1.67MBytes,2.15MBytes,2.55MBytes,>= 11.00,38.2KBytes,,,,,,,,,
iperf3_result_20231019154647.txt,9.77MBytes,11.2MBytes,9.83MBytes,11.6MBytes,12.1MBytes,12.7MBytes,10.7MBytes,10.7MBytes,9.83MBytes,4.69MBytes,2.44MBytes,10.59,,,,,,,,,,
iperf3_result_20231019154451.txt,9.36MBytes,9.49MBytes,7.00MBytes,7.61MBytes,9.95MBytes,10.1MBytes,9.22MBytes,9.37MBytes,11.2MBytes,12.6MBytes,3.48MBytes,10.28,,,,,,,,,,
iperf3_result_20231019160119.txt,10.9MBytes,9.27MBytes,3.11MBytes,2.49MBytes,2.11MBytes,2.74MBytes,8.27MBytes,12.9MBytes,12.9MBytes,10.7MBytes,0.00Bytes,>= 11.00,,0.00Bytes,0.00Bytes,0.00Bytes,,,,,,
iperf3_result_20231019155820.txt,10.8MBytes,11.4MBytes,7.37MBytes,3.55MBytes,3.24MBytes,5.14MBytes,3.04MBytes,2.87MBytes,2.29MBytes,3.06MBytes,427KBytes,10.15,,,,,,,,,,
iperf3_result_20231019154929.txt,9.71MBytes,9.31MBytes,9.84MBytes,9.84MBytes,10.1MBytes,10.3MBytes,10.8MBytes,9.34MBytes,8.90MBytes,10.8MBytes,3.69MBytes,10.44,,,,,,,,,,
iperf3_result_20231019155809.txt,2.81MBytes,3.02MBytes,1.66MBytes,2.56MBytes,1.85MBytes,2.42MBytes,3.17MBytes,2.90MBytes,2.71MBytes,2.92MBytes,5.97MBytes,10.69,,,,,,,,,,
iperf3_result_20231019155002.txt,9.22MBytes,9.08MBytes,8.52MBytes,10.1MBytes,10.8MBytes,9.52MBytes,8.20MBytes,8.28MBytes,6.90MBytes,8.36MBytes,3.69MBytes,10.40,,,,,,,,,,
iperf3_result_20231019154532.txt,9.89MBytes,10.6MBytes,10.3MBytes,9.45MBytes,10.4MBytes,11.0MBytes,11.8MBytes,12.9MBytes,12.8MBytes,11.8MBytes,1.55MBytes,10.13,,,,,,,,,,
iperf3_result_20231019154730.txt,8.15MBytes,9.27MBytes,8.80MBytes,7.39MBytes,7.28MBytes,8.66MBytes,8.01MBytes,7.67MBytes,7.90MBytes,7.63MBytes,3.02MBytes,10.38,,,,,,,,,,
iperf3_result_20231019155413.txt,7.41MBytes,9.77MBytes,9.88MBytes,10.3MBytes,9.83MBytes,8.93MBytes,9.19MBytes,8.79MBytes,10.3MBytes,11.5MBytes,2.75MBytes,10.26,,,,,,,,,,
iperf3_result_20231019154636.txt,10.1MBytes,11.4MBytes,11.1MBytes,9.18MBytes,9.57MBytes,12.3MBytes,11.9MBytes,12.9MBytes,12.0MBytes,10.6MBytes,3.24MBytes,10.27,,,,,,,,,,
iperf3_result_20231019154409.txt,9.29MBytes,10.3MBytes,10.6MBytes,9.42MBytes,9.07MBytes,9.99MBytes,10.8MBytes,11.3MBytes,11.0MBytes,10.7MBytes,1.80MBytes,10.19,,,,,,,,,,
iperf3_result_20231019155703.txt,1.80MBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,3.66MBytes,5.88MBytes,3.56MBytes,>= 11.00,,,,,3.82MBytes,,,,,
iperf3_result_20231019155715.txt,9.58MBytes,6.25MBytes,5.67MBytes,6.69MBytes,6.81MBytes,6.81MBytes,6.90MBytes,6.69MBytes,5.29MBytes,2.87MBytes,2.46MBytes,>= 11.00,,,,,,1.51MBytes,,,,
iperf3_result_20231019154543.txt,10.7MBytes,11.3MBytes,10.4MBytes,11.4MBytes,11.2MBytes,10.1MBytes,10.5MBytes,11.4MBytes,11.9MBytes,11.4MBytes,2.69MBytes,10.30,,,,,,,,,,
iperf3_result_20231019154741.txt,5.24MBytes,5.82MBytes,5.72MBytes,6.01MBytes,5.58MBytes,6.20MBytes,6.17MBytes,5.65MBytes,5.42MBytes,5.49MBytes,2.69MBytes,10.55,,,,,,,,,,
iperf3_result_20231019155648.txt,9.36MBytes,8.85MBytes,2.42MBytes,3.25MBytes,2.49MBytes,2.14MBytes,2.34MBytes,2.22MBytes,1.38MBytes,1.79MBytes,1.21MBytes,>= 11.00,,,,,,,447KBytes,,,
iperf3_result_20231019155728.txt,8.30MBytes,11.0MBytes,4.63MBytes,3.42MBytes,3.51MBytes,3.57MBytes,3.57MBytes,3.49MBytes,3.71MBytes,5.10MBytes,379KBytes,10.09,,,,,,,,,,
iperf3_result_20231019154803.txt,9.50MBytes,8.46MBytes,10.5MBytes,9.22MBytes,8.48MBytes,7.94MBytes,8.50MBytes,8.01MBytes,7.65MBytes,8.74MBytes,2.96MBytes,10.37,,,,,,,,,,
iperf3_result_20231019155738.txt,6.91MBytes,7.17MBytes,5.32MBytes,7.14MBytes,5.24MBytes,7.49MBytes,4.28MBytes,2.99MBytes,3.07MBytes,2.62MBytes,2.58MBytes,10.93,,,,,,,,,,
iperf3_result_20231019160146.txt,11.2MBytes,10.7MBytes,3.13MBytes,9.50MBytes,12.5MBytes,13.1MBytes,10.2MBytes,2.78MBytes,2.35MBytes,2.46MBytes,433KBytes,10.13,,,,,,,,,,
iperf3_result_20231019154553.txt,8.40MBytes,10.1MBytes,9.54MBytes,5.60MBytes,5.21MBytes,4.43MBytes,5.41MBytes,6.03MBytes,6.05MBytes,5.68MBytes,2.61MBytes,10.42,,,,,,,,,,
iperf3_result_20231019154814.txt,7.57MBytes,9.02MBytes,9.09MBytes,6.68MBytes,10.7MBytes,9.89MBytes,8.79MBytes,10.5MBytes,8.26MBytes,8.48MBytes,3.50MBytes,10.45,,,,,,,,,,
iperf3_result_20231019154419.txt,9.54MBytes,7.56MBytes,8.75MBytes,10.3MBytes,8.35MBytes,8.78MBytes,10.4MBytes,11.2MBytes,10.1MBytes,10.2MBytes,1.82MBytes,10.17,,,,,,,,,,
iperf3_result_20231019154752.txt,9.84MBytes,10.5MBytes,8.33MBytes,8.90MBytes,8.07MBytes,6.60MBytes,7.46MBytes,6.82MBytes,6.30MBytes,6.20MBytes,2.77MBytes,10.42,,,,,,,,,,
iperf3_result_20231019154430.txt,9.17MBytes,11.2MBytes,11.6MBytes,11.6MBytes,11.3MBytes,11.9MBytes,11.8MBytes,11.5MBytes,11.4MBytes,11.3MBytes,2.04MBytes,10.18,,,,,,,,,,
iperf3_result_20231019154626.txt,8.50MBytes,9.97MBytes,9.99MBytes,9.54MBytes,7.84MBytes,9.43MBytes,11.4MBytes,12.9MBytes,13.0MBytes,11.6MBytes,720KBytes,10.07,,,,,,,,,,
iperf3_result_20231019155521.txt,0.00Bytes,7.21MBytes,4.51MBytes,3.56MBytes,4.20MBytes,10.9MBytes,11.6MBytes,11.4MBytes,181KBytes,18.4KBytes,1.56MBytes,>= 11.00,,1.77MBytes,1.45MBytes,,,,,335KBytes,,
iperf3_result_20231019155535.txt,2.14MBytes,2.16MBytes,2.38MBytes,2.13MBytes,2.53MBytes,1.85MBytes,9.70MBytes,12.5MBytes,10.7MBytes,2.73MBytes,332KBytes,10.14,,,,,,,,,,
iperf3_result_20231019154951.txt,4.89MBytes,5.03MBytes,4.50MBytes,4.82MBytes,5.26MBytes,5.79MBytes,4.35MBytes,4.92MBytes,4.76MBytes,5.92MBytes,3.27MBytes,10.27,,,,,,,,,,
iperf3_result_20231019154825.txt,8.62MBytes,11.0MBytes,10.5MBytes,9.87MBytes,9.52MBytes,9.18MBytes,10.6MBytes,11.1MBytes,11.0MBytes,10.5MBytes,3.45MBytes,10.38,,,,,,,,,,
iperf3_result_20231019154359.txt,9.12MBytes,9.87MBytes,9.89MBytes,9.84MBytes,10.0MBytes,9.79MBytes,8.22MBytes,6.95MBytes,8.87MBytes,10.3MBytes,2.27MBytes,10.26,,,,,,,,,,
iperf3_result_20231019154615.txt,5.99MBytes,7.33MBytes,6.93MBytes,6.26MBytes,6.34MBytes,5.83MBytes,8.79MBytes,11.0MBytes,10.0MBytes,9.46MBytes,2.88MBytes,10.32,,,,,,,,,,
iperf3_result_20231019154348.txt,9.81MBytes,10.1MBytes,10.4MBytes,9.75MBytes,8.90MBytes,8.61MBytes,10.7MBytes,10.0MBytes,9.67MBytes,9.94MBytes,663KBytes,10.06,,,,,,,,,,
iperf3_result_20231019154604.txt,4.87MBytes,5.21MBytes,5.29MBytes,9.26MBytes,10.4MBytes,11.1MBytes,10.2MBytes,9.65MBytes,7.87MBytes,5.26MBytes,2.33MBytes,10.41,,,,,,,,,,
iperf3_result_20231019154835.txt,8.71MBytes,9.91MBytes,10.7MBytes,8.92MBytes,9.80MBytes,9.84MBytes,10.4MBytes,8.86MBytes,9.87MBytes,8.89MBytes,2.37MBytes,10.24,,,,,,,,,,
iperf3_result_20231019160158.txt,10.5MBytes,9.66MBytes,3.08MBytes,5.70MBytes,11.8MBytes,12.8MBytes,12.9MBytes,11.7MBytes,8.24MBytes,3.78MBytes,1.98MBytes,10.77,,,,,,,,,,
iperf3_result_20231019154940.txt,9.50MBytes,8.89MBytes,7.46MBytes,8.67MBytes,6.78MBytes,7.18MBytes,8.40MBytes,9.56MBytes,9.44MBytes,11.7MBytes,1.99MBytes,10.44,,,,,,,,,,
iperf3_result_20231019154846.txt,9.27MBytes,10.3MBytes,10.0MBytes,8.64MBytes,6.66MBytes,7.93MBytes,7.62MBytes,7.68MBytes,8.83MBytes,6.89MBytes,2.69MBytes,10.37,,,,,,,,,,
iperf3_result_20231019154501.txt,9.86MBytes,9.95MBytes,9.98MBytes,10.2MBytes,9.80MBytes,10.0MBytes,10.0MBytes,11.3MBytes,10.2MBytes,10.6MBytes,897KBytes,10.08,,,,,,,,,,
iperf3_result_20231019155435.txt,7.78MBytes,9.42MBytes,9.19MBytes,8.76MBytes,8.54MBytes,8.26MBytes,8.28MBytes,6.15MBytes,7.58MBytes,3.24MBytes,5.86MBytes,>= 11.00,,,,,,,,,182KBytes,
iperf3_result_20231019154919.txt,8.31MBytes,6.85MBytes,8.77MBytes,9.39MBytes,9.56MBytes,9.46MBytes,9.33MBytes,8.90MBytes,8.72MBytes,9.13MBytes,2.37MBytes,10.27,,,,,,,,,,
iperf3_result_20231019155024.txt,9.37MBytes,8.39MBytes,2.63MBytes,3.32MBytes,3.00MBytes,3.60MBytes,2.88MBytes,2.99MBytes,2.61MBytes,2.86MBytes,317KBytes,10.11,,,,,,,,,,
iperf3_result_20231019155424.txt,8.68MBytes,10.2MBytes,9.71MBytes,9.60MBytes,10.4MBytes,10.6MBytes,10.3MBytes,10.2MBytes,10.2MBytes,10.5MBytes,1.62MBytes,10.16,,,,,,,,,,
iperf3_result_20231019154908.txt,9.22MBytes,7.89MBytes,8.93MBytes,7.35MBytes,8.46MBytes,7.72MBytes,8.64MBytes,9.03MBytes,9.25MBytes,6.96MBytes,2.42MBytes,10.32,,,,,,,,,,
iperf3_result_20231019154511.txt,10.4MBytes,12.3MBytes,10.8MBytes,10.9MBytes,11.6MBytes,10.7MBytes,11.0MBytes,11.5MBytes,11.5MBytes,11.6MBytes,3.38MBytes,10.27,,,,,,,,,,
iperf3_result_20231019155633.txt,8.13MBytes,8.68MBytes,7.18MBytes,2.09MBytes,2.42MBytes,2.40MBytes,2.41MBytes,2.44MBytes,2.30MBytes,1.82MBytes,2.36MBytes,10.90,,,,,,,,,,
iperf3_result_20231019155753.txt,6.05MBytes,6.76MBytes,6.59MBytes,4.05MBytes,6.32MBytes,4.83MBytes,6.39MBytes,5.16MBytes,6.45MBytes,3.30MBytes,2.95MBytes,>= 11.00,,,,,,,,,,509KBytes
iperf3_result_20231019155037.txt,4.64MBytes,4.84MBytes,2.97MBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,3.26MBytes,10.89,,,,,,,,,,
iperf3_result_20231019154857.txt,8.43MBytes,8.60MBytes,7.13MBytes,8.25MBytes,8.37MBytes,10.9MBytes,10.7MBytes,8.36MBytes,8.23MBytes,9.37MBytes,2.50MBytes,10.25,,,,,,,,,,
iperf3_result_20231019154658.txt,4.93MBytes,5.37MBytes,4.92MBytes,4.34MBytes,5.43MBytes,4.64MBytes,4.41MBytes,5.21MBytes,9.16MBytes,8.93MBytes,2.08MBytes,10.28,,,,,,,,,,
